station_id,station_name,latitude,longitude,avg_wind_speed,avg_wind_direction
188790,Abisko Aut,68.3538,18.8164,1.7,357.0
97280,Adelsö A,59.3579,17.5213,6.9,0.0
11046,Anilla,56.2234,14.0732,2.3,45.0
167710,Arjeplog A,66.0513,17.8396,1.2,307.0
159880,Arvidsjaur A,65.5941,19.2642,5.7,343.0
92410,Arvika A,59.6743,12.6354,3.1,345.0
98040,Berga,59.068,18.115,7.0,10.0
151280,Bjuröklubb A,64.4799,21.5754,10.7,15.0
92130,Blomskog A,59.2213,12.0754,3.4,18.0
132110,Blåhammaren A,63.1854,12.1734,13.0,324.0
161940,Boden,65.814,21.635,4.0,10.0
105260,Borlänge Flygplats,60.4294,15.5079,3.0,50.0
75002,Borlänge GBG,60.4746,15.4196,3.0,90.0
5032,Braberg,58.4488,16.3651,5.6,0.0
127130,Brämön A,62.2198,17.739,4.7,350.0
157870,Buresjön A,65.558,17.8554,3.4,35.0
123460,Börtnan A,62.7548,13.8427,4.1,322.0
94390,Daglösen A,59.6612,14.1803,3.4,21.0
116490,Delsbo A,61.8264,16.5385,1.8,312.0
123060,Dravagen A,62.0936,13.6086,4.2,329.0
115220,Edsbyn A,61.3607,15.7144,3.3,319.0
107440,Eggegrund A,60.7298,17.5584,6.9,356.0
97370,Enköping,59.65,17.12,6.0,350.0
96190,Eskilstuna A,59.3825,16.4522,4.4,36.0
52240,Falsterbo A,55.3837,12.8166,6.8,287.0
107140,Film A,60.2358,17.9043,3.9,6.0
96040,Floda A,59.0558,16.3944,4.7,2.0
23059,Fors 2,63.0117,16.6604,1.1,45.0
148040,Fredrika A,64.0744,18.3619,2.0,20.0
78550,Fårösund Ar A,57.9165,18.9533,8.0,344.0
134410,Föllinge A,63.6761,14.6048,5.4,330.0
22051,Gammbodarna,63.099,17.5177,1.9,315.0
155790,Gielas A,65.3269,15.0645,3.9,311.0
76420,Gladhammar A,57.7068,16.4526,4.3,359.0
89230,Gotska Sandön A,58.3939,19.194,4.8,293.0
20044,Grådö V,60.2409,16.0283,1.4,45.0
145130,Gubbhögen A,64.2172,15.5529,3.4,302.0
147560,Gunnarn A,65.0094,17.6993,2.0,29.0
103100,Gustavsfors A,60.1533,13.799,2.9,9.0
144310,Gäddede A,64.5044,14.2207,3.4,299.0
180760,Gällivare A,67.1407,20.6413,4.6,12.0
107420,Gävle A,60.7161,17.1607,4.9,39.0
75001,Gävle GBG,60.6838,17.1472,4.4,45.0
84520,Gårdsjö A,58.8768,14.3875,2.5,347.0
71420,Göteborg A,57.7156,11.9924,4.3,24.0
72420,Göteborg-Landvetter Flygplats,57.6764,12.2919,7.0,350.0
74180,Hagshult,57.292,14.137,5.0,340.0
62260,Hallands Väderö A,56.4496,12.5453,6.2,356.0
135460,Hallhåxåsen A,63.7685,15.3279,3.2,348.0
75004,Hallsberg GBG,59.0604,15.0599,1.9,45.0
62410,Halmstad flygplats,56.6833,12.8167,6.0,10.0
114410,Hamra A,61.6599,14.9918,3.1,346.0
64020,Hanö A,56.0135,14.8463,2.8,312.0
163960,Haparanda A,65.8237,24.1112,2.9,10.0
87140,Harstena A,58.2506,17.0074,6.0,342.0
62040,Helsingborg A,56.0304,12.7628,5.0,0.0
71001,Helsingborg GBG,56.0248,12.723,4.9,315.0
155970,Hemavan Flygplats,65.8077,15.0854,4.0,340.0
155960,Hemavan-Gierevarto A,65.7813,15.0623,4.5,327.0
138390,Hemling A,63.6503,18.5466,2.7,17.0
13023,Hinnakullsberg,56.9229,13.0655,4.1,0.0
68560,Hoburg A,56.9209,18.1506,8.7,340.0
140460,Holmön A,63.807,20.8645,7.2,56.0
75520,Horn A,57.8861,15.8623,5.9,342.0
8006,Hossmo,56.6383,16.2156,3.4,315.0
146050,Hoting A,64.0875,16.2356,2.7,353.0
11044,Hov,56.4337,12.7222,6.0,0.0
125440,Hunge A,62.7504,15.0845,4.1,296.0
83190,Hällum A,58.3218,13.0379,3.0,2.0
63160,Hästveda,56.28,13.9431,2.0,30.0
6057,Håknarp2,57.8739,13.9349,3.7,315.0
53530,Hörby A,55.8624,13.6673,3.0,342.0
112540,Idre Fjäll,61.8897,12.8525,10.3,329.0
170860,Jokkmokk Flygplats,66.491,20.142,4.0,10.0
14042,Järnbrottsmotet,57.646,11.9413,3.3,0.0
139260,Järnäsklubb A,63.4351,19.6731,3.5,353.0
73001,Jönköping GBG,57.7639,14.1778,4.3,0.0
74460,Jönköping-Axamos Flygplats,57.7514,14.0733,5.0,40.0
66420,Kalmar flygplats,56.6784,16.2922,4.0,350.0
192840,Karesuando A,68.4418,22.4435,5.1,325.0
84310,Karlsborg,58.514,14.507,4.0,0.0
65090,Karlskrona-Söderstjerna,56.15,15.589,0.0,0.0
93220,Karlstad Flygplats,59.4446,13.3374,7.0,350.0
188850,Katterjåkk A,68.4202,18.168,2.0,175.0
106160,Kerstinbo A,60.2683,16.9738,4.4,34.0
85460,Kettstaka A,58.7162,15.0271,3.3,6.0
94190,Kilsbergen-Suttarboda A,59.2996,14.8956,4.0,4.0
180940,Kiruna Flygplats,67.827,20.3387,4.0,340.0
95540,Kloten A,59.8703,15.2522,3.0,336.0
124300,Klövsjöhöjden A,62.4952,14.1542,6.3,328.0
12000,Knivsåsen,55.6547,13.4064,1.2,225.0
86420,Kolmården-Strömsfors A,58.6892,16.3069,3.7,351.0
133500,Korsvattnet A,63.8385,13.5009,5.5,5.0
65510,Kosta,56.841,15.471,3.0,340.0
82360,Kroppefjäll-Granan A,58.6065,12.1973,2.5,352.0
136090,Krångede A,63.1512,16.1699,2.6,313.0
117430,Kuggören A,61.7027,17.5216,5.2,9.0
85390,Kvarn,58.645,15.434,3.0,350.0
167990,Kvikkjokk-Årrenjarka A,66.8874,18.0198,1.6,291.0
11039,Källstorp,56.2206,13.56,1.9,0.0
21041,Kårböle 2,61.9824,15.3149,1.4,315.0
171790,Lakaträsk A,66.2789,21.1285,2.2,353.0
87440,Landsort A,58.7429,17.8684,6.0,359.0
180770,Latnivaara A,67.2551,20.2704,5.0,331.0
16036,Lekåsa,58.1442,12.8643,3.5,0.0
85240,Linköping-Malmslätt,58.398,15.523,6.0,10.0
63510,Ljungby A,56.8525,13.8794,4.0,336.0
162860,Luleå-Kallax Flygplats,65.543,22.124,4.0,10.0
128390,Lungö A,62.6417,18.0899,6.2,50.0
148330,Lycksele A,64.5481,18.713,3.8,352.0
12037,Maglarp,55.3901,13.0761,5.6,270.0
85050,Malexander A,58.0716,15.233,4.2,11.0
52350,Malmö A,55.5715,13.0708,4.1,296.0
71002,Malmö GBG,55.6116,13.0145,2.3,270.0
103420,Malung A,60.6765,13.7072,3.6,338.0
158740,Malå-Brännan A,65.1512,18.5935,2.1,321.0
166910,Mierkenis A,66.6802,16.1053,5.2,312.0
104580,Mora A,60.9601,14.5041,4.3,11.0
75250,Målilla A,57.3845,15.8009,5.3,3.0
81050,Måseskär A,58.0937,11.3312,5.9,346.0
191910,Naimakka A,68.6762,21.5229,4.2,308.0
170930,Nattavaara A,66.7516,20.9238,3.2,354.0
83420,Naven A,58.6994,13.1084,4.3,40.0
71190,Nidingen A,57.3036,11.9049,4.4,0.0
179960,Nikkaluokta A,67.8527,19.0212,3.6,346.0
81540,Nordkoster A,58.892,11.0038,6.9,17.0
86340,Norrköping-SMHI,58.5828,16.147,3.2,11.0
149560,Norsjö A,64.9253,19.3744,4.1,18.0
172940,Paharova A,66.8094,22.3315,3.1,350.0
183750,Pajala A,67.2036,23.3899,4.7,352.0
182910,Parkalompolo A,67.7301,22.8219,3.9,356.0
11001,Perstorp,56.1342,13.3512,1.4,315.0
149340,Petisträsk A,64.5659,19.6943,2.4,336.0
161710,Pite-Rönnskär A,65.034,21.5609,8.8,14.0
83450,Pålgrunden A,58.7551,13.1514,8.7,30.0
189720,Rensjön A,68.073,19.8351,3.5,339.0
177930,Ritsem A,67.7255,17.4668,1.3,202.0
65160,Ronneby-Bredåkra,56.267,15.265,5.0,0.0
73480,Rångedala A,57.7846,13.1642,5.4,357.0
162790,Rödkallen A,65.3121,22.3709,6.5,355.0
182810,Saittarova A,67.3363,22.2288,2.4,328.0
96560,Sala A,59.9093,16.6843,7.7,33.0
25075,Seskarö,65.7464,23.8069,5.0,0.0
139120,Skagsudde A,63.1872,19.0199,3.3,14.0
98160,Skarpö A,59.3446,18.7404,4.6,349.0
151380,Skellefteå Flygplats,64.6244,21.0717,5.0,20.0
54290,Skillinge A,55.489,14.3144,3.9,271.0
14013,Skulltorpsmotet,57.7401,12.1345,2.7,45.0
11018,Skättilljunga,55.9565,13.927,2.5,0.0
154730,Stekenjokk A,65.0929,14.5055,10.1,318.0
97400,Stockholm-Arlanda Flygplats,59.6269,17.9545,7.0,340.0
97200,Stockholm-Bromma Flygplats,59.3537,17.9513,6.0,350.0
178860,Stora Sjöfallet A,67.4948,18.2907,5.6,292.0
105220,Stora Spånsberget A,60.3817,15.1374,3.1,351.0
8027,Storgöl,57.4232,15.8252,2.2,0.0
132170,Storlien-Storvallen A,63.2826,12.1218,5.0,303.0
23058,Storlien2,63.3178,12.0875,4.0,315.0
163900,Storön A,65.6972,23.0959,2.2,341.0
127310,Sundsvall-Timrå Flygplats,62.5246,17.441,4.0,280.0
93520,Sunne A,59.8639,13.1166,4.7,15.0
98490,Svanberga A,59.8317,18.6313,4.8,27.0
25060,Svappavaara,67.6117,21.1062,3.8,0.0
124030,Sveg A,62.0462,14.4069,7.9,320.0
99280,Svenska Högarna A,59.4423,19.5022,12.3,334.0
132030,Sylarna A,63.0438,12.2748,8.0,315.0
25009,Sävastön,65.7576,21.7637,4.9,0.0
72001,Sävenäs GBG,57.7271,12.0372,3.5,0.0
82260,Såtenäs,58.428,12.711,7.0,30.0
99450,Söderarm A,59.7531,19.4054,12.2,356.0
169790,Tjåkaape,66.309,19.21,6.0,30.0
74300,Tomtabacken A,57.4981,14.4645,4.3,339.0
126290,Torpshammar A,62.4935,16.2742,1.2,316.0
16035,Torsöbron V,58.7812,13.8468,2.9,270.0
63590,Torup A,56.9494,13.0601,3.5,22.0
71003,Trelleborg GBG,55.3694,13.1588,4.5,270.0
97100,Tullinge A,59.1785,17.9093,7.4,338.0
122260,Tännäs A,62.4494,12.6676,1.3,222.0
17045,Töcksfors,59.5066,11.8158,2.7,315.0
72090,Ullared A,57.1134,12.7732,2.1,15.0
140480,Umeå Flygplats,63.7931,20.28,4.0,330.0
97510,Uppsala Aut,59.8471,17.632,4.8,341.0
97530,Uppsala Flygplats,59.9,17.593,8.0,0.0
15060,V Horred,57.3554,12.4618,1.6,0.0
19024,Vallbymotet,59.6172,16.5112,1.4,315.0
160970,Vidsel,65.875,20.15,5.0,10.0
146350,Vilhelmina A,64.5798,16.8386,2.2,67.0
71380,Vinga A,57.6322,11.6048,5.7,345.0
78400,Visby Flygplats,57.6678,18.3516,6.0,350.0
84050,Visingsö A,58.0948,14.4058,4.4,35.0
11031,Visseltofta,56.4308,13.8754,2.6,315.0
25061,Vittangi,67.6673,21.6757,3.6,315.0
81350,Väderöarna A,58.576,11.0661,5.4,347.0
75003,Västerås västra GBG,59.5959,16.5086,2.2,315.0
138070,Västmarkum A,63.1243,18.2518,3.6,298.0
64510,Växjö A,56.8463,14.8296,5.6,5.0
173900,Ylinenjärvi A,66.6223,23.4635,3.4,353.0
22046,Ytterturingen2,62.4295,14.9926,3.2,315.0
114140,Älvdalen A,61.2536,14.0355,4.7,340.0
161910,Älvsbyn A,65.6691,21.062,4.6,3.0
62180,Ängelholm-Barkåkra Flygplats,56.2926,12.8558,6.0,0.0
106570,Åmot A,60.9614,16.4279,2.8,355.0
76001,Ånge GBG,62.5255,15.6442,2.2,315.0
147090,Åsele A,64.165,17.3153,2.4,63.0
77210,Ölands norra udde A,57.3671,17.0954,6.1,6.0
66110,Ölands södra udde A,56.1977,16.4005,2.5,262.0
95130,Örebro Flygplats,59.2289,15.0455,5.0,350.0
138240,Örnsköldsviks Flygplats,63.4119,18.9797,4.0,350.0
108320,Örskär A,60.5256,18.3729,13.4,355.0
134110,Östersund-Frösön Flygplats,63.1981,14.4869,8.0,330.0
172770,Överkalix-Svartbyn A,66.2618,22.8427,2.6,344.0
